ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
,variable,TSHIRT-025,Premium Fashion Wear 025,1,0,visible,Short desc for Premium Fashion Wear 025.,This is a long description for Premium Fashion Wear 025. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-025-S,Premium Fashion Wear 025 - S,1,0,visible,,,,,taxable,parent,1,41,2,0,0,0.5,30,20,5,1,,,51,,,,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-025,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-025-M,Premium Fashion Wear 025 - M,1,0,visible,,,,,taxable,parent,1,28,2,0,0,0.5,30,20,5,1,,,51,,,,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-025,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-026,Premium Fashion Wear 026,1,0,visible,Short desc for Premium Fashion Wear 026.,This is a long description for Premium Fashion Wear 026. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-026-S,Premium Fashion Wear 026 - S,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,65,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-026,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-026-M,Premium Fashion Wear 026 - M,1,0,visible,,,,,taxable,parent,1,23,2,0,0,0.5,30,20,5,1,,,65,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-026,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-027,Premium Fashion Wear 027,1,0,visible,Short desc for Premium Fashion Wear 027.,This is a long description for Premium Fashion Wear 027. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-027-S,Premium Fashion Wear 027 - S,1,0,visible,,,,,taxable,parent,1,39,2,0,0,0.5,30,20,5,1,,,92,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-027,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-027-M,Premium Fashion Wear 027 - M,1,0,visible,,,,,taxable,parent,1,45,2,0,0,0.5,30,20,5,1,,,92,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-027,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-028,Premium Fashion Wear 028,1,0,visible,Short desc for Premium Fashion Wear 028.,This is a long description for Premium Fashion Wear 028. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-028-S,Premium Fashion Wear 028 - S,1,0,visible,,,,,taxable,parent,1,18,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-028,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-028-M,Premium Fashion Wear 028 - M,1,0,visible,,,,,taxable,parent,1,42,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-028,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-029,Premium Fashion Wear 029,1,0,visible,Short desc for Premium Fashion Wear 029.,This is a long description for Premium Fashion Wear 029. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-029-S,Premium Fashion Wear 029 - S,1,0,visible,,,,,taxable,parent,1,18,2,0,0,0.5,30,20,5,1,,,37,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-029,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-029-M,Premium Fashion Wear 029 - M,1,0,visible,,,,,taxable,parent,1,44,2,0,0,0.5,30,20,5,1,,,37,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-029,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-030,Premium Fashion Wear 030,1,0,visible,Short desc for Premium Fashion Wear 030.,This is a long description for Premium Fashion Wear 030. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-030-S,Premium Fashion Wear 030 - S,1,0,visible,,,,,taxable,parent,1,44,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-030,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-030-M,Premium Fashion Wear 030 - M,1,0,visible,,,,,taxable,parent,1,26,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-030,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-031,Premium Fashion Wear 031,1,0,visible,Short desc for Premium Fashion Wear 031.,This is a long description for Premium Fashion Wear 031. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-031-S,Premium Fashion Wear 031 - S,1,0,visible,,,,,taxable,parent,1,19,2,0,0,0.5,30,20,5,1,,,114,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-031,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-031-M,Premium Fashion Wear 031 - M,1,0,visible,,,,,taxable,parent,1,15,2,0,0,0.5,30,20,5,1,,,114,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-031,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-032,Premium Fashion Wear 032,1,0,visible,Short desc for Premium Fashion Wear 032.,This is a long description for Premium Fashion Wear 032. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-032-S,Premium Fashion Wear 032 - S,1,0,visible,,,,,taxable,parent,1,50,2,0,0,0.5,30,20,5,1,,,66,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-032,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-032-M,Premium Fashion Wear 032 - M,1,0,visible,,,,,taxable,parent,1,47,2,0,0,0.5,30,20,5,1,,,66,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-032,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-033,Premium Fashion Wear 033,1,0,visible,Short desc for Premium Fashion Wear 033.,This is a long description for Premium Fashion Wear 033. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-033-S,Premium Fashion Wear 033 - S,1,0,visible,,,,,taxable,parent,1,31,2,0,0,0.5,30,20,5,1,,,115,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-033,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-033-M,Premium Fashion Wear 033 - M,1,0,visible,,,,,taxable,parent,1,37,2,0,0,0.5,30,20,5,1,,,115,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-033,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-034,Premium Fashion Wear 034,1,0,visible,Short desc for Premium Fashion Wear 034.,This is a long description for Premium Fashion Wear 034. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-034-S,Premium Fashion Wear 034 - S,1,0,visible,,,,,taxable,parent,1,16,2,0,0,0.5,30,20,5,1,,,72,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-034,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-034-M,Premium Fashion Wear 034 - M,1,0,visible,,,,,taxable,parent,1,20,2,0,0,0.5,30,20,5,1,,,72,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-034,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-035,Premium Fashion Wear 035,1,0,visible,Short desc for Premium Fashion Wear 035.,This is a long description for Premium Fashion Wear 035. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-035-S,Premium Fashion Wear 035 - S,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,60,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-035,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-035-M,Premium Fashion Wear 035 - M,1,0,visible,,,,,taxable,parent,1,46,2,0,0,0.5,30,20,5,1,,,60,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-035,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-036,Premium Fashion Wear 036,1,0,visible,Short desc for Premium Fashion Wear 036.,This is a long description for Premium Fashion Wear 036. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-036-S,Premium Fashion Wear 036 - S,1,0,visible,,,,,taxable,parent,1,36,2,0,0,0.5,30,20,5,1,,,97,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-036,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-036-M,Premium Fashion Wear 036 - M,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,97,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-036,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-037,Premium Fashion Wear 037,1,0,visible,Short desc for Premium Fashion Wear 037.,This is a long description for Premium Fashion Wear 037. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-037-S,Premium Fashion Wear 037 - S,1,0,visible,,,,,taxable,parent,1,34,2,0,0,0.5,30,20,5,1,,,102,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-037,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-037-M,Premium Fashion Wear 037 - M,1,0,visible,,,,,taxable,parent,1,42,2,0,0,0.5,30,20,5,1,,,102,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-037,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-038,Premium Fashion Wear 038,1,0,visible,Short desc for Premium Fashion Wear 038.,This is a long description for Premium Fashion Wear 038. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-038-S,Premium Fashion Wear 038 - S,1,0,visible,,,,,taxable,parent,1,32,2,0,0,0.5,30,20,5,1,,,47,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-038,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-038-M,Premium Fashion Wear 038 - M,1,0,visible,,,,,taxable,parent,1,28,2,0,0,0.5,30,20,5,1,,,47,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-038,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-039,Premium Fashion Wear 039,1,0,visible,Short desc for Premium Fashion Wear 039.,This is a long description for Premium Fashion Wear 039. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-039-S,Premium Fashion Wear 039 - S,1,0,visible,,,,,taxable,parent,1,47,2,0,0,0.5,30,20,5,1,,,82,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-039,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-039-M,Premium Fashion Wear 039 - M,1,0,visible,,,,,taxable,parent,1,31,2,0,0,0.5,30,20,5,1,,,82,,,,https://images.unsplash.com/photo-1556905055-8f358a7a4bb4?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-039,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-040,Premium Fashion Wear 040,1,0,visible,Short desc for Premium Fashion Wear 040.,This is a long description for Premium Fashion Wear 040. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-040-S,Premium Fashion Wear 040 - S,1,0,visible,,,,,taxable,parent,1,6,2,0,0,0.5,30,20,5,1,,,102,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-040,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-040-M,Premium Fashion Wear 040 - M,1,0,visible,,,,,taxable,parent,1,12,2,0,0,0.5,30,20,5,1,,,102,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-040,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-041,Premium Fashion Wear 041,1,0,visible,Short desc for Premium Fashion Wear 041.,This is a long description for Premium Fashion Wear 041. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-041-S,Premium Fashion Wear 041 - S,1,0,visible,,,,,taxable,parent,1,33,2,0,0,0.5,30,20,5,1,,,46,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-041,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-041-M,Premium Fashion Wear 041 - M,1,0,visible,,,,,taxable,parent,1,17,2,0,0,0.5,30,20,5,1,,,46,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-041,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-042,Premium Fashion Wear 042,1,0,visible,Short desc for Premium Fashion Wear 042.,This is a long description for Premium Fashion Wear 042. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > T-Shirts,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-042-S,Premium Fashion Wear 042 - S,1,0,visible,,,,,taxable,parent,1,8,2,0,0,0.5,30,20,5,1,,,105,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-042,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-042-M,Premium Fashion Wear 042 - M,1,0,visible,,,,,taxable,parent,1,31,2,0,0,0.5,30,20,5,1,,,105,,,,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-042,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-043,Premium Fashion Wear 043,1,0,visible,Short desc for Premium Fashion Wear 043.,This is a long description for Premium Fashion Wear 043. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-043-S,Premium Fashion Wear 043 - S,1,0,visible,,,,,taxable,parent,1,37,2,0,0,0.5,30,20,5,1,,,68,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-043,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-043-M,Premium Fashion Wear 043 - M,1,0,visible,,,,,taxable,parent,1,20,2,0,0,0.5,30,20,5,1,,,68,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-043,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-044,Premium Fashion Wear 044,1,0,visible,Short desc for Premium Fashion Wear 044.,This is a long description for Premium Fashion Wear 044. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-044-S,Premium Fashion Wear 044 - S,1,0,visible,,,,,taxable,parent,1,35,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-044,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-044-M,Premium Fashion Wear 044 - M,1,0,visible,,,,,taxable,parent,1,20,2,0,0,0.5,30,20,5,1,,,107,,,,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-044,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-045,Premium Fashion Wear 045,1,0,visible,Short desc for Premium Fashion Wear 045.,This is a long description for Premium Fashion Wear 045. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-045-S,Premium Fashion Wear 045 - S,1,0,visible,,,,,taxable,parent,1,23,2,0,0,0.5,30,20,5,1,,,119,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-045,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-045-M,Premium Fashion Wear 045 - M,1,0,visible,,,,,taxable,parent,1,17,2,0,0,0.5,30,20,5,1,,,119,,,,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-045,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-046,Premium Fashion Wear 046,1,0,visible,Short desc for Premium Fashion Wear 046.,This is a long description for Premium Fashion Wear 046. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Hoodies,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-046-S,Premium Fashion Wear 046 - S,1,0,visible,,,,,taxable,parent,1,14,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-046,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-046-M,Premium Fashion Wear 046 - M,1,0,visible,,,,,taxable,parent,1,14,2,0,0,0.5,30,20,5,1,,,108,,,,https://images.unsplash.com/photo-1542272454315-4c01d7afdf4a?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-046,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-047,Premium Fashion Wear 047,1,0,visible,Short desc for Premium Fashion Wear 047.,This is a long description for Premium Fashion Wear 047. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-047-S,Premium Fashion Wear 047 - S,1,0,visible,,,,,taxable,parent,1,46,2,0,0,0.5,30,20,5,1,,,52,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-047,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-047-M,Premium Fashion Wear 047 - M,1,0,visible,,,,,taxable,parent,1,22,2,0,0,0.5,30,20,5,1,,,52,,,,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-047,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-048,Premium Fashion Wear 048,1,0,visible,Short desc for Premium Fashion Wear 048.,This is a long description for Premium Fashion Wear 048. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Jeans,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-048-S,Premium Fashion Wear 048 - S,1,0,visible,,,,,taxable,parent,1,12,2,0,0,0.5,30,20,5,1,,,77,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-048,,,,,,0,Size,S,,1,,Color,Black,,1,
,variation,TSHIRT-048-M,Premium Fashion Wear 048 - M,1,0,visible,,,,,taxable,parent,1,20,2,0,0,0.5,30,20,5,1,,,77,,,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-048,,,,,,0,Size,M,,1,,Color,Black,,1,
,variable,TSHIRT-049,Premium Fashion Wear 049,1,0,visible,Short desc for Premium Fashion Wear 049.,This is a long description for Premium Fashion Wear 049. Perfect for your collection.,,,taxable,,1,,,0,0,0.5,30,20,5,1,,,,Clothing > Accessories,"fashion, clothes, 2026",,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,,,,,,,0,Size,"S, M",1,1,,Color,"Black, White",1,1,
,variation,TSHIRT-049-S,Premium Fashion Wear 049 - S,1,0,visible,,,,,taxable,parent,1,24,2,0,0,0.5,30,20,5,1,,,63,,,,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?q=80&w=1000&auto=format&fit=crop,,,TSHIRT-049,,,,,,0,Size,S,,1,,Color,Black,,1,
